Geneid	a10	a15	a16	a17	a18	a19	a20	a9
ENSMUSG00000099608	0	0	0	0	0	0	0	0
ENSMUSG00000099864	0	0	0	0	0	0	0	0
ENSMUSG00002075839	0	0	0	0	0	0	0	0
ENSMUSG00000100451	0	0	0	0	0	0	0	0
ENSMUSG00000099941	0	0	0	0	0	0	0	0
ENSMUSG00002075589	0	0	0	0	0	0	0	0
ENSMUSG00000100816	0	0	0	0	0	0	0	0
ENSMUSG00000042671	62	2	10	8	5	48	91	44
ENSMUSG00000100945	0	0	0	0	0	0	0	0
ENSMUSG00000102404	0	2	0	0	0	0	0	4
ENSMUSG00000100334	6	2	0	0	0	0	0	0
ENSMUSG00000026109	31	22	25	20	17	45	48	43
ENSMUSG00000026475	197	263	174	188	230	116	209	320
ENSMUSG00000099568	0	2	1	0	0	0	2	10
ENSMUSG00000100671	0	0	0	2	0	2	0	2
ENSMUSG00002075527	0	0	0	0	0	0	0	0
ENSMUSG00000101242	0	0	0	0	0	0	0	0
ENSMUSG00000099924	0	0	0	0	0	0	0	0
ENSMUSG00000099625	0	0	0	0	0	0	0	0
ENSMUSG00000101799	0	0	0	2	0	0	0	2
ENSMUSG00000045954	2756	770	854	700	592	2382	3050	2477
ENSMUSG00000099741	0	0	0	0	0	0	0	0
ENSMUSG00000101702	0	0	0	0	0	0	0	0
ENSMUSG00000066800	16890	11969	18560	15283	13561	19506	18803	10818
ENSMUSG00000100183	600	197	501	396	252	655	684	402
ENSMUSG00000067851	8951	5841	8829	7106	7106	9669	12150	8618
ENSMUSG00002076532	2	0	3	4	3	6	0	4
ENSMUSG00000102556	0	0	0	0	0	0	0	4
ENSMUSG00000038608	536	580	825	691	850	551	586	626
ENSMUSG00000042501	55	6	15	26	12	55	62	78
ENSMUSG00000103810	0	0	0	0	0	0	0	0
ENSMUSG00000083422	0	0	0	0	0	0	0	0
ENSMUSG00000119312	0	0	0	0	0	0	0	0
ENSMUSG00000042641	8	4	6	4	0	14	32	10
ENSMUSG00000081417	0	0	0	0	0	0	0	0
ENSMUSG00000103448	0	0	0	0	0	0	0	0
ENSMUSG00000103192	0	0	0	0	0	0	0	0
ENSMUSG00000104488	0	0	0	0	0	6	2	0
ENSMUSG00000100212	0	0	0	0	0	0	0	0
ENSMUSG00000102721	0	0	0	0	0	0	0	0
ENSMUSG00000100648	0	0	0	0	0	0	0	0
ENSMUSG00002076499	0	0	0	0	0	0	0	0
ENSMUSG00000099949	0	0	0	0	0	0	0	0
ENSMUSG00000099918	0	0	0	0	0	0	0	0
ENSMUSG00000045968	14	4	2	6	6	30	22	7
ENSMUSG00000043282	2	0	0	0	0	0	0	2
ENSMUSG00000102459	0	0	0	1	0	0	0	0
ENSMUSG00000047053	0	0	0	0	0	2	0	0
ENSMUSG00000099227	0	0	0	0	0	0	0	0
ENSMUSG00000026107	470	1009	958	1024	1163	420	461	380
ENSMUSG00000099413	16	6	8	10	6	17	11	4
ENSMUSG00000103424	0	0	0	0	0	0	0	0
ENSMUSG00000054976	12	0	6	2	2	10	14	10
ENSMUSG00000104029	0	0	0	0	0	0	0	0
ENSMUSG00000101986	0	0	0	0	0	0	0	0
ENSMUSG00000087008	6	20	24	24	32	22	14	28
ENSMUSG00000100561	2	2	0	4	0	8	0	0
ENSMUSG00000103571	0	0	0	0	0	0	0	0
ENSMUSG00000098797	0	0	0	0	0	0	0	0
ENSMUSG00000026473	18723	5258	4838	4750	5204	18162	25442	9928
ENSMUSG00000100014	0	0	0	0	0	0	0	2
ENSMUSG00000101903	0	0	0	0	0	0	0	0
ENSMUSG00000055980	294	62	104	76	92	281	424	194
ENSMUSG00000100502	0	0	0	4	0	2	0	2
ENSMUSG00000022591	0	0	0	0	0	0	0	0
ENSMUSG00000088669	0	0	0	0	0	0	0	0
ENSMUSG00000066797	6	0	2	0	0	4	16	2
ENSMUSG00000048960	628	176	288	259	186	596	804	534
ENSMUSG00000099933	0	0	0	0	0	0	0	0
ENSMUSG00000100221	0	0	0	0	0	0	0	0
ENSMUSG00002076439	0	0	0	0	0	0	0	0
ENSMUSG00000100031	0	0	0	0	0	0	0	0
ENSMUSG00000077318	0	0	0	0	0	0	0	0
ENSMUSG00000101827	0	0	0	0	0	0	0	0
ENSMUSG00000103494	0	0	0	0	0	0	0	0
ENSMUSG00000026142	1374	743	1024	888	784	1268	1628	1270
ENSMUSG00000104493	2	0	0	0	0	0	2	2
ENSMUSG00000100786	2	0	0	0	1	0	0	0
ENSMUSG00002075724	0	0	0	0	0	0	0	0
ENSMUSG00000067158	70	6	14	27	12	56	46	45
ENSMUSG00000079465	52	2	23	0	9	47	33	32
ENSMUSG00002075966	0	0	0	0	0	0	0	0
ENSMUSG00000004110	790	48	176	128	128	451	489	619
ENSMUSG00000097564	14	0	8	1	10	20	13	23
ENSMUSG00000101880	0	0	0	0	0	0	0	0
ENSMUSG00000101433	0	0	0	0	0	0	0	0
ENSMUSG00000096950	37	30	37	34	25	55	40	36
ENSMUSG00000056708	2573	2872	3111	2844	3496	2200	2796	3024
ENSMUSG00000026471	401	162	163	164	144	424	446	406
ENSMUSG00000057715	12	2	2	10	0	18	14	44
ENSMUSG00000026470	1403	1567	1421	1403	1499	1446	1901	1291
ENSMUSG00000103825	0	0	0	0	0	0	0	0
ENSMUSG00000099845	0	0	0	0	0	0	0	0
ENSMUSG00000103561	0	0	0	0	0	0	0	0
ENSMUSG00000101610	4	6	0	2	0	4	0	4
ENSMUSG00000104181	8	0	0	0	0	1	3	9
ENSMUSG00000118923	0	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0	0
ENSMUSG00000097628	0	0	0	0	0	0	0	0
ENSMUSG00000098163	0	0	0	0	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0	0
ENSMUSG00000033722	201	92	120	78	92	186	239	215
ENSMUSG00000103670	1	0	0	0	1	0	0	5
ENSMUSG00000026150	2637	2140	2043	1838	2063	2587	2990	2594
ENSMUSG00000101450	46	0	3	6	4	41	33	27
ENSMUSG00000026149	6797	6539	7498	6933	6042	7341	7935	6618
ENSMUSG00000114299	8	0	3	4	6	6	10	17
ENSMUSG00000099771	0	0	0	0	0	0	0	0
ENSMUSG00000102280	0	0	0	0	0	0	0	0
ENSMUSG00000100170	0	0	2	20	3	7	4	0
ENSMUSG00000100744	2	0	2	0	5	9	2	0
ENSMUSG00002074851	0	0	0	0	0	0	0	0
ENSMUSG00000026469	4893	1819	2704	2227	2033	5092	7222	3678
ENSMUSG00002076398	0	0	0	0	0	0	1	0
ENSMUSG00000018417	2397	1942	2971	2256	1999	2858	3477	1440
ENSMUSG00000101724	0	0	0	0	0	0	0	0
ENSMUSG00000100313	0	0	0	0	2	0	0	0
ENSMUSG00000100696	0	0	0	0	0	0	0	0
ENSMUSG00002075355	0	0	0	0	0	0	0	0
ENSMUSG00000072324	0	0	0	0	0	4	1	0
ENSMUSG00000026490	3567	1007	1700	1257	801	3265	3703	3985
ENSMUSG00000033701	1207	1370	1216	1266	1506	1186	1261	955
ENSMUSG00000102194	4	0	0	0	0	0	0	0
ENSMUSG00000103636	2	0	0	0	0	0	2	2
ENSMUSG00000026468	0	0	0	0	0	0	0	0
ENSMUSG00000103180	0	0	0	0	0	0	0	0
ENSMUSG00000062939	16	80	87	58	82	23	28	28
ENSMUSG00000101628	0	0	3	0	1	0	0	2
ENSMUSG00000078291	0	0	0	0	0	2	0	0
ENSMUSG00000109599	4	0	4	4	10	18	21	16
ENSMUSG00000033684	7067	3402	4032	3562	2632	7373	8617	4069
ENSMUSG00000102299	3	0	2	0	0	0	5	0
ENSMUSG00000102558	0	0	0	0	0	2	0	4
ENSMUSG00000016918	545	817	964	895	764	448	723	682
ENSMUSG00000033671	3983	1772	4140	2436	2351	3264	4447	3709
