Geneid	Cb_1	Cb_3_1	Cb_4_1	Cb_5_1	Cb_6	Control_4	Control_5_1	Control_6_1	Control_7_1	Control_8_1	Ox_1_1	Ox_3_1	Ox_4	Ox_7	Ox_8
ENSMUSG00000038949	1577	1386	1361	1204	1259	2474	3238	3417	3478	3462	1503	2094	1451	1166	1198
ENSMUSG00000026043	16890	11155	16616	10718	12437	21058	29229	25743	26782	25369	18073	28943	2451	34805	16034
ENSMUSG00000046101	1	7	0	2	4	2	0	6	6	2	5	6	2	0	0
ENSMUSG00002074901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032	6	1	2	11	0	2	0	0	4	4	14	2	8	6	13
ENSMUSG00000104025	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000038936	541	411	358	280	300	252	254	281	230	230	328	376	445	434	376
ENSMUSG00000042772	3069	2647	2438	2841	2333	2673	3312	3242	2858	2955	3532	3057	3383	2180	2447
ENSMUSG00000100394	0	4	0	1	2	2	12	0	6	3	4	0	0	0	0
ENSMUSG00000103840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087236	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0
ENSMUSG00000100702	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000026042	1945	1228	1859	1211	1340	2216	3076	2810	2957	2536	2596	2880	705	3082	1867
ENSMUSG00000104476	2	0	0	0	0	0	4	0	2	6	0	2	0	4	13
ENSMUSG00000073643	405	333	424	360	345	642	752	825	623	789	770	447	969	359	371
ENSMUSG00000104497	4	0	0	0	0	0	0	3	10	0	0	0	0	0	0
ENSMUSG00000025916	2	0	2	0	2	1	0	0	4	0	0	2	2	0	0
ENSMUSG00000087199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026248	1301	827	816	848	947	911	1083	821	786	721	730	866	514	984	1194
ENSMUSG00000119658	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000026249	200	130	146	160	120	344	342	329	372	337	506	748	984	890	520
ENSMUSG00000042751	28	32	28	14	20	46	60	76	60	62	32	66	97	48	34
ENSMUSG00000067106	233	79	105	58	122	39	87	67	74	79	55	71	31	51	66
ENSMUSG00000099969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000100397	0	0	0	0	0	0	0	0	6	0	0	2	2	0	0
ENSMUSG00000099753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099552	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043230	0	6	4	0	0	4	4	6	6	4	0	4	2	0	0
ENSMUSG00000103404	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
ENSMUSG00000026491	1974	1864	1887	1892	1830	1635	2209	1924	2077	2078	2243	2087	2100	1215	1599
ENSMUSG00000073486	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0
ENSMUSG00000025917	3066	2469	2408	2262	2433	1738	1884	1744	1762	1600	2057	1884	2560	2466	2629
ENSMUSG00000104418	8	0	2	0	4	0	9	8	12	4	0	11	2	4	8
ENSMUSG00000026479	6953	6324	6117	6321	6013	2298	2721	2863	2323	1939	5131	8389	19084	8066	10746
ENSMUSG00000004364	3699	3117	3001	2784	3140	3182	3567	3244	3109	3181	2873	2875	4297	2304	2786
ENSMUSG00000103076	10	14	12	6	2	17	11	8	11	14	26	2	2	0	2
ENSMUSG00000103525	0	0	2	0	0	4	12	0	6	0	0	2	0	0	4
ENSMUSG00000101722	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0
ENSMUSG00000090637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026478	1900	1651	1898	1822	1538	2574	4006	3075	3378	2973	3812	3477	6292	3088	2628
ENSMUSG00000110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103818	2	0	0	0	0	0	0	2	0	4	4	2	0	2	0
ENSMUSG00000079138	0	0	0	2	0	0	4	0	2	2	12	8	22	7	2
ENSMUSG00000042708	1	0	2	0	2	12	3	2	4	2	2	4	10	7	2
ENSMUSG00000064435	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ENSMUSG00000103543	0	0	0	0	2	0	0	4	0	0	0	2	12	0	2
ENSMUSG00000099432	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000041144	30	24	45	36	23	28	84	51	68	35	52	53	60	36	31
ENSMUSG00000119743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
